artist,song_title
Men Without Hats , Safety Dance 
The Toadies , Possum Kingdom  
Green Day , When I Come Around  
The Knife , Heartbeats 
Oingo Boingo , Weird Science 
Paula Abdul , Straight Up 
Pet Shop Boys , West End Girls 
Bad Religion , I Want to Conquer the World 
Panic! At The Disco , I Write Sins Not Tragedies  
Joan Jett , Bad Reputation 
The Hu , Wolf Totem 
My Bloody Valentine , Only Shallow  
The Cure , Disintegration 
Tommy the Cat , Primus 
The Runaways , Cherry Bomb 
Kraftwerk , Pocket Calculator 
Earl Scruggs , Foggy Mountain Breakdown  
Bela Fleck & The Flecktones , Throwdown at the Hoedown  Woooooooohhh 
Ben E. King , Stand By Me  
Dead Kennedys , Police Truck 
Gary Rafferty , Baker Street 
Young MC , Bust a Move 
Adam Freeland , We Want Your Soul 
Brendan Bowyer , The Hucklebuck 
Bjork , I miss you  
EMF , Unbelievable  
Ween , Baby Bitch 
Warren Zevon , Werewolves Of London  
Mercury Rev , Sermon  
Electric Light Orchestra , Prologue/Twilight 
The Pogues , Tuesday Morning 
Deep Purple , Burn  
Tangerine Dream , Ricochet  
First Man OST , The Landing 
Crash Test Dummies , Mmm Mmm Mmm Mmm  
Motörhead , Ace Of Spades 
Mr. B The Gentleman Rhymer , Paper Plates 
Brian Eno , Cindy Tells Me 
LeftOnSeen , No Control 
The Traveling Wilburys , Handle With Care 
Sasha Sloan , Older 
John Coltrane , A Love Supreme 
Dance Gavin Dance , Midnight Crusade 
Electric Light Orchestra , All Over the World 
John Coltrane , Naima 
Bleachers , Wild Heart 
Future Islands , Seasons  
Larkin Poe , Bleach Blonde Bottle Blues  
Johnny Cash , A Boy Named Sue 
Phoebe Bridgers , Motion Sickness  
Lube , Desire  Juice Wrld Style
The Death Of Juliet , Lustful Eyes 
Hootie and the Blowfish , Mustang Sally  
PRXZM , Queen of Hearts 
Donald Fagen , I.G.Y 
Cuco , Melting 
The Lonely Island , Semicolon  
Asadenaki , Living 
Funkadelic Astronaut , Conquest 
Converge , Concubine  Had no idea there was a video for this.
Joy Division , Shadowplay  
Lord Kord , No Sobers  Filipino Rapper
Crosby Stills & Nash , Just a Song Before I Go 
American Football , Honestly? 
Al Stewart , Year of the Cat 
flora cash , You're Somebody Else 
The Walkmen , We've Been Had 
R.E.M. , Shiny Happy People 
Shaka Ponk , I'm Picky 
The Guild , Do You Wanna Date My Avatar 
Anti,Flag , For What It's Worth 
Daniel Cloud Campos , Here I Go 
Gary Numan , The End Of Things 
Emerson Lake & Palmer , Knife,Edge  
Purple Rain , Miche Braden  Amazing! 
